year,country,region,happiness_score,generosity,healthy_life_expectancy,perceptions_of_corruption,gdp_per_capita,freedom_to_make_life_choices,social_support,temperature
2015,Afghanistan,South Asia,3.575,0.3651,0.30335,0.09719,0.31982,0.23414,0.30285,13.66
2016,Afghanistan,South Asia,3.36,0.31268,0.17344,0.07112,0.38227,0.1643,0.11037,14.19
2017,Afghanistan,South Asia,3.79399991,0.311870933,0.180746779,0.06115783,0.401477218,0.10617952,0.581543326,13.82
2018,Afghanistan,South Asia,3.632,0.191,0.255,0.036,0.332,0.085,0.537,14.25
2019,Afghanistan,South Asia,3.203,0.158,0.361,0.025,0.35,0.0,0.517,13.58
2020,Afghanistan,South Asia,2.566900015,0.135234714,0.266051531,0.001225785,0.30070585,0.0,0.356433839,12.91
2021,Afghanistan,South Asia,2.523,0.122,0.126,0.01,0.37,0.0,0.0,14.28
2022,Afghanistan,South Asia,2.404,0.089,0.289,0.005,0.758,0.0,0.0,14.48
2015,Albania,Central and Eastern Europe,4.959,0.14272,0.81325,0.06413,0.87867,0.35733,0.80434,12.87
2016,Albania,Central and Eastern Europe,4.655,0.1684,0.73007,0.05301,0.9553,0.31866,0.50163,12.9
2017,Albania,Central and Eastern Europe,4.644000053,0.201312944,0.731159747,0.039864216,0.996192753,0.381498635,0.803685248,12.75
2018,Albania,Central and Eastern Europe,4.586,0.149,0.79,0.032,0.916,0.419,0.817,13.43
2019,Albania,Central and Eastern Europe,4.719,0.178,0.874,0.027,0.947,0.383,0.848,13.33
2020,Albania,Central and Eastern Europe,4.882699966,0.171027765,0.846329629,0.025361285,0.906653047,0.461945891,0.830483913,13.07
2021,Albania,Central and Eastern Europe,5.117,0.168,0.646,0.024,1.008,0.491,0.529,12.89
2022,Albania,Central and Eastern Europe,5.199,0.138,0.719,0.028,1.439,0.511,0.646,13.31
2015,Algeria,Middle East and North Africa,5.605,0.07822,0.61766,0.17383,0.93929,0.28579,1.07772,23.79
2016,Algeria,Middle East and North Africa,6.355,0.07044,0.61804,0.16157,1.05266,0.21006,0.83309,23.99
2017,Algeria,Middle East and North Africa,5.872000217,0.069436647,0.617584646,0.14609611,1.091864467,0.233335808,1.146217465,23.86
2018,Algeria,Middle East and North Africa,5.295,0.055,0.687,0.135,0.979,0.077,1.154,23.5
2019,Algeria,Middle East and North Africa,5.211,0.073,0.785,0.114,1.002,0.086,1.16,23.65
2020,Algeria,Middle East and North Africa,5.005099773,0.118915014,0.745418549,0.129190654,0.943856001,0.083943799,1.143003583,23.78
2021,Algeria,Middle East and North Africa,4.887,0.144,0.552,0.12,0.946,0.119,0.765,23.92
2022,Algeria,Middle East and North Africa,5.122,0.106,0.643,0.15,1.363,0.146,0.97,24.11
2015,Angola,Sub-Saharan Africa,4.033,0.12344,0.16683,0.07122,0.75778,0.10384,0.8604,21.71
2016,Angola,Sub-Saharan Africa,3.866,0.12071,0.04991,0.08434,0.84731,0.00589,0.66366,21.99
2017,Angola,Sub-Saharan Africa,3.795000076,0.09792649,0.049868666,0.069720335,0.85842818,0.0,1.10441196,21.88
2018,Angola,Sub-Saharan Africa,3.795,0.079,0.269,0.061,0.73,0.0,1.125,21.67
2015,Argentina,Latin America and Caribbean,6.574,0.11451,0.78723,0.08484,1.05351,0.44974,1.24823,15.48
2016,Argentina,Latin America and Caribbean,6.65,0.10989,0.69711,0.07296,1.15137,0.42284,1.06612,14.98
2017,Argentina,Latin America and Caribbean,6.598999977,0.109457061,0.695137084,0.059739888,1.185295463,0.494519204,1.440451145,15.53
2018,Argentina,Latin America and Caribbean,6.388,0.062,0.744,0.054,1.073,0.57,1.468,15.21
2019,Argentina,Latin America and Caribbean,6.086,0.066,0.881,0.05,1.092,0.471,1.432,15.19
2020,Argentina,Latin America and Caribbean,5.974699974,0.070100471,0.849773705,0.060415059,1.028465629,0.520840347,1.372543693,15.52
2021,Argentina,Latin America and Caribbean,5.929,0.069,0.646,0.067,1.162,0.544,0.98,15.4
2022,Argentina,Latin America and Caribbean,5.967,0.081,0.662,0.085,1.592,0.555,1.102,15.07
2015,Armenia,Central and Eastern Europe,4.35,0.07855,0.7299,0.039,0.76821,0.19847,0.77711,8.41
2016,Armenia,Central and Eastern Europe,4.36,0.07793,0.64083,0.03616,0.86086,0.14037,0.62477,7.81
