year,country,region,happiness_score,healthy_life_expectancy,social_support,generosity,gdp_per_capita,perceptions_of_corruption,freedom_to_make_life_choices,temperature,fertility_rate
2015,Afghanistan,South Asia,3.575,0.30335,0.30285,0.3651,0.31982,0.09719,0.23414,13.66,4.523
2016,Afghanistan,South Asia,3.36,0.17344,0.11037,0.31268,0.38227,0.07112,0.1643,14.19,4.523
2017,Afghanistan,South Asia,3.79399991,0.180746779,0.581543326,0.311870933,0.401477218,0.06115783,0.10617952,13.82,4.523
2018,Afghanistan,South Asia,3.632,0.255,0.537,0.191,0.332,0.036,0.085,14.25,4.523
2019,Afghanistan,South Asia,3.203,0.361,0.517,0.158,0.35,0.025,0.14740488,13.58,4.523
2020,Afghanistan,South Asia,2.566900015,0.266051531,0.356433839,0.135234714,0.30070585,0.001225785,0.14740488,12.91,4.523
2021,Afghanistan,South Asia,2.523,0.126,0.4008661941666667,0.122,0.37,0.01,0.14740488,14.28,4.523
2022,Afghanistan,South Asia,2.404,0.289,0.4008661941666667,0.089,0.758,0.005,0.14740488,14.48,4.523
2015,Albania,Central and Eastern Europe,4.959,0.81325,0.80434,0.14272,0.87867,0.06413,0.35733,12.87,1.376
2016,Albania,Central and Eastern Europe,4.655,0.73007,0.50163,0.1684,0.9553,0.05301,0.31866,12.9,1.376
2017,Albania,Central and Eastern Europe,4.644000053,0.731159747,0.803685248,0.201312944,0.996192753,0.039864216,0.381498635,12.75,1.376
2018,Albania,Central and Eastern Europe,4.586,0.79,0.817,0.149,0.916,0.032,0.419,13.43,1.376
2019,Albania,Central and Eastern Europe,4.719,0.874,0.848,0.178,0.947,0.027,0.383,13.33,1.376
2020,Albania,Central and Eastern Europe,4.882699966,0.846329629,0.830483913,0.171027765,0.906653047,0.025361285,0.461945891,13.07,1.376
2021,Albania,Central and Eastern Europe,5.117,0.646,0.529,0.168,1.008,0.024,0.491,12.89,1.376
2022,Albania,Central and Eastern Europe,5.199,0.719,0.646,0.138,1.439,0.028,0.511,13.31,1.376
2015,Algeria,Middle East and North Africa,5.605,0.61766,1.07772,0.07822,0.93929,0.17383,0.28579,23.79,2.829
2016,Algeria,Middle East and North Africa,6.355,0.61804,0.83309,0.07044,1.05266,0.16157,0.21006,23.99,2.829
2017,Algeria,Middle East and North Africa,5.872000217,0.617584646,1.146217465,0.069436647,1.091864467,0.14609611,0.233335808,23.86,2.829
2018,Algeria,Middle East and North Africa,5.295,0.687,1.154,0.055,0.979,0.135,0.077,23.5,2.829
2019,Algeria,Middle East and North Africa,5.211,0.785,1.16,0.073,1.002,0.114,0.086,23.65,2.829
2020,Algeria,Middle East and North Africa,5.005099773,0.745418549,1.143003583,0.118915014,0.943856001,0.129190654,0.083943799,23.78,2.829
2021,Algeria,Middle East and North Africa,4.887,0.552,0.765,0.144,0.946,0.12,0.119,23.92,2.829
2022,Algeria,Middle East and North Africa,5.122,0.643,0.97,0.106,1.363,0.15,0.146,24.11,2.829
2015,Argentina,Latin America and Caribbean,6.574,0.78723,1.24823,0.11451,1.05351,0.08484,0.44974,15.48,1.876
2016,Argentina,Latin America and Caribbean,6.65,0.69711,1.06612,0.10989,1.15137,0.07296,0.42284,14.98,1.876
2017,Argentina,Latin America and Caribbean,6.598999977,0.695137084,1.440451145,0.109457061,1.185295463,0.059739888,0.494519204,15.53,1.876
2018,Argentina,Latin America and Caribbean,6.388,0.744,1.468,0.062,1.073,0.054,0.57,15.21,1.876
2019,Argentina,Latin America and Caribbean,6.086,0.881,1.432,0.066,1.092,0.05,0.471,15.19,1.876
2020,Argentina,Latin America and Caribbean,5.974699974,0.849773705,1.372543693,0.070100471,1.028465629,0.060415059,0.520840347,15.52,1.876
2021,Argentina,Latin America and Caribbean,5.929,0.646,0.98,0.069,1.162,0.067,0.544,15.4,1.876
2022,Argentina,Latin America and Caribbean,5.967,0.662,1.102,0.081,1.592,0.085,0.555,15.07,1.876
2015,Armenia,Central and Eastern Europe,4.35,0.7299,0.77711,0.07855,0.76821,0.039,0.19847,8.41,1.575
2016,Armenia,Central and Eastern Europe,4.36,0.64083,0.62477,0.07793,0.86086,0.03616,0.14037,7.81,1.575
2017,Armenia,Central and Eastern Europe,4.375999928,0.637524426,1.007483721,0.083488092,0.900596738,0.026674422,0.198303267,8.08,1.575
2018,Armenia,Central and Eastern Europe,4.321,0.666,0.99,0.077,0.816,0.028,0.26,9.32,1.575
2019,Armenia,Central and Eastern Europe,4.559,0.815,1.055,0.095,0.85,0.064,0.283,8.64,1.575
2020,Armenia,Central and Eastern Europe,4.676799774,0.77585727,1.034576893,0.107225738,0.808262408,0.104618184,0.378075808,8.41,1.575
2021,Armenia,Central and Eastern Europe,5.283,0.585,0.758,0.079,0.996,0.198,0.54,8.81,1.575
2022,Armenia,Central and Eastern Europe,5.399,0.668,0.82,0.054,1.434,0.21,0.558,8.64,1.575
2015,Australia,North America and ANZ,7.284,0.93156,1.30923,0.43562,1.33358,0.35637,0.65124,22.33,1.63
2016,Australia,North America and ANZ,7.313,0.8512,1.10476,0.47407,1.44443,0.32331,0.56837,22.41,1.63
2017,Australia,North America and ANZ,7.28399992,0.843886793,1.510041952,0.47769925,1.484414935,0.30118373,0.601607382,22.48,1.63
2018,Australia,North America and ANZ,7.272,0.91,1.573,0.361,1.34,0.302,0.647,22.49,1.63
2019,Australia,North America and ANZ,7.228,1.036,1.548,0.332,1.372,0.29,0.557,22.78,1.63
2020,Australia,North America and ANZ,7.222799778,1.022607684,1.477146268,0.324973613,1.310396433,0.335996419,0.621877193,22.56,1.63
2021,Australia,North America and ANZ,7.183,0.801,1.076,0.291,1.453,0.317,0.647,22.05,1.63
2022,Australia,North America and ANZ,7.162,0.772,1.203,0.258,1.9,0.341,0.676,21.96,1.63
2015,Austria,Western Europe,7.2,0.89042,1.29704,0.33088,1.33723,0.18676,0.62433,8.31,1.41
2016,Austria,Western Europe,7.119,0.80565,1.08383,0.32865,1.45038,0.21348,0.54355,7.76,1.41
2017,Austria,Western Europe,7.006000042,0.815328419,1.459944963,0.316472322,1.487097263,0.221060365,0.56776619,7.71,1.41
2018,Austria,Western Europe,7.139,0.891,1.504,0.242,1.341,0.224,0.617,8.55,1.41
2019,Austria,Western Europe,7.246,1.016,1.475,0.244,1.376,0.226,0.532,8.46,1.41
2020,Austria,Western Europe,7.294199944,1.000933528,1.437444925,0.255509764,1.317285538,0.281256139,0.603368878,8.25,1.41
2021,Austria,Western Europe,7.268,0.782,1.062,0.215,1.492,0.292,0.64,7.41,1.41
2022,Austria,Western Europe,7.163,0.774,1.165,0.193,1.931,0.329,0.623,8.65,1.41
2015,Azerbaijan,Central and Eastern Europe,5.212,0.64045,0.93793,0.07799,1.02389,0.16065,0.3703,13.55,1.67
2016,Azerbaijan,Central and Eastern Europe,5.291,0.54504,0.76042,0.0564,1.12373,0.17914,0.35327,12.93,1.67
2017,Azerbaijan,Central and Eastern Europe,5.234000206,0.540775776,1.152400255,0.04526934,1.153601766,0.180987507,0.398155838,13.22,1.67
2018,Azerbaijan,Central and Eastern Europe,5.201,0.603,1.161,0.031,1.024,0.176,0.43,14.2,1.67
2019,Azerbaijan,Central and Eastern Europe,5.208,0.769,1.147,0.035,1.043,0.182,0.351,13.75,1.67
2020,Azerbaijan,Central and Eastern Europe,5.164800167,0.731134057,1.180613041,0.040113214,0.990272701,0.247307181,0.467734724,13.38,1.67
2021,Azerbaijan,Central and Eastern Europe,5.171,0.541,0.841,0.043,1.025,0.276,0.526,13.9,1.67
2022,Azerbaijan,Central and Eastern Europe,5.173,0.56,1.093,0.023,1.458,0.341,0.601,13.84,1.67
2015,Bahrain,Middle East and North Africa,5.96,0.74716,1.21624,0.17362,1.32376,0.306,0.45492,28.31,1.797
2016,Bahrain,Middle East and North Africa,6.218,0.65696,0.94397,0.17147,1.44024,0.25772,0.47375,28.43,1.797
2017,Bahrain,Middle East and North Africa,6.086999893,0.653133035,1.323110461,0.172668487,1.488412261,0.25704217,0.536746919,28.34,1.797
2018,Bahrain,Middle East and North Africa,6.105,0.698,1.366,0.243,1.338,0.123,0.594,28.79,1.797
2019,Bahrain,Middle East and North Africa,6.199,0.871,1.368,0.255,1.362,0.11,0.536,28.38,1.797
2020,Bahrain,Middle East and North Africa,6.227300167,0.838836372,1.31532371,0.287453711,1.296692252,0.126697257,0.610399902,28.19,1.797
2021,Bahrain,Middle East and North Africa,6.647,0.662,0.899,0.246,1.409,0.139,0.661,29.18,1.797
2022,Bahrain,Middle East and North Africa,6.647,0.625,1.029,0.199,1.854,0.155,0.693,28.84,1.797
2015,Bangladesh,South Asia,4.694,0.60164,0.43106,0.21222,0.39753,0.12569,0.4082,25.44,1.95
2016,Bangladesh,South Asia,4.643,0.52989,0.24749,0.19132,0.54177,0.12583,0.39778,25.9,1.95
2017,Bangladesh,South Asia,4.607999802,0.533241034,0.735131741,0.172255352,0.586682975,0.123717859,0.478356659,25.67,1.95
2018,Bangladesh,South Asia,4.5,0.579,0.85,0.153,0.532,0.144,0.58,25.27,1.95
2019,Bangladesh,South Asia,4.456,0.723,0.928,0.166,0.562,0.143,0.527,25.62,1.95
2020,Bangladesh,South Asia,4.832799911,0.694940507,0.868800581,0.176745117,0.556156278,0.176735908,0.604130566,25.39,1.95
2021,Bangladesh,South Asia,5.025,0.514,0.52,0.161,0.635,0.164,0.603,25.7,1.95
2022,Bangladesh,South Asia,5.155,0.581,0.614,0.125,1.06,0.187,0.622,25.74,1.95
2015,Belarus,Central and Eastern Europe,5.813,0.73608,1.23289,0.11046,1.03192,0.1909,0.37938,8.67,1.495
2016,Belarus,Central and Eastern Europe,5.802,0.63104,1.04993,0.13942,1.13062,0.17457,0.29091,7.81,1.495
2017,Belarus,Central and Eastern Europe,5.568999767,0.637714267,1.444945216,0.155137509,1.15655756,0.156313822,0.295400262,7.75,1.495
2018,Belarus,Central and Eastern Europe,5.483,0.7,1.498,0.101,1.039,0.154,0.307,8.11,1.495
2019,Belarus,Central and Eastern Europe,5.323,0.789,1.465,0.094,1.067,0.142,0.235,8.85,1.495
2020,Belarus,Central and Eastern Europe,5.539899826,0.75258857,1.38713932,0.08993306,1.018854499,0.193607435,0.290755868,9.09,1.495
2021,Belarus,Central and Eastern Europe,5.534,0.56,1.007,0.07,1.124,0.199,0.326,7.33,1.495
2022,Belarus,Central and Eastern Europe,5.821,0.629,1.157,0.04,1.562,0.282,0.342,7.98,1.495
2015,Belgium,Western Europe,6.937,0.89667,1.28566,0.2225,1.30782,0.2254,0.5845,11.08,1.53
2016,Belgium,Western Europe,6.929,0.81959,1.05249,0.2424,1.42539,0.26248,0.51354,10.76,1.53
2017,Belgium,Western Europe,6.890999794,0.818091869,1.462312698,0.231503338,1.463780761,0.251343131,0.539770722,11.07,1.53
2018,Belgium,Western Europe,6.927,0.894,1.483,0.188,1.324,0.24,0.583,11.65,1.53
2019,Belgium,Western Europe,6.923,0.986,1.504,0.16,1.356,0.21,0.473,11.39,1.53
2020,Belgium,Western Europe,6.863500118,0.964901149,1.398677588,0.146966159,1.295842767,0.208724052,0.499805421,11.89,1.53
2021,Belgium,Western Europe,6.834,0.747,0.998,0.088,1.463,0.187,0.489,10.48,1.53
2022,Belgium,Western Europe,6.805,0.764,1.106,0.049,1.907,0.204,0.492,11.98,1.53
2015,Benin,Sub-Saharan Africa,3.34,0.3191,0.35386,0.1826,0.28665,0.0801,0.4845,28.27,4.895
2016,Benin,Sub-Saharan Africa,3.484,0.21028,0.10419,0.2018,0.39499,0.06681,0.39747,28.53,4.895
2017,Benin,Sub-Saharan Africa,3.657000065,0.209930211,0.435299844,0.207948461,0.431085408,0.060929015,0.425962776,28.34,4.895
2018,Benin,Sub-Saharan Africa,4.141,0.24,0.372,0.163,0.378,0.067,0.44,28.33,4.895
2019,Benin,Sub-Saharan Africa,4.883,0.397,0.437,0.175,0.393,0.082,0.349,28.17,4.895
2020,Benin,Sub-Saharan Africa,5.21600008,0.328062952,0.352428436,0.196670428,0.366244704,0.125931874,0.40583989,28.43,4.895
2021,Benin,Sub-Saharan Africa,5.045,0.196,0.058,0.166,0.507,0.178,0.457,28.7,4.895
2022,Benin,Sub-Saharan Africa,4.623,0.335,0.064,0.127,0.932,0.23,0.479,28.09,4.895
2015,Bolivia,Latin America and Caribbean,5.89,0.5392,0.97841,0.20536,0.68133,0.088,0.57414,21.23,2.584
2016,Bolivia,Latin America and Caribbean,5.822,0.4697,0.83779,0.21698,0.79422,0.07746,0.50961,20.87,2.584
2017,Bolivia,Latin America and Caribbean,5.822999954,0.47363025,1.227619052,0.225560725,0.833756566,0.060477726,0.558732927,20.95,2.584
2018,Bolivia,Latin America and Caribbean,5.752,0.508,1.223,0.141,0.751,0.054,0.606,20.55,2.584
2019,Bolivia,Latin America and Caribbean,5.779,0.706,1.209,0.137,0.776,0.064,0.511,20.88,2.584
2020,Bolivia,Latin America and Caribbean,5.747499943,0.662445664,1.142350554,0.138375074,0.730976343,0.072942637,0.5744645,21.34,2.584
2021,Bolivia,Latin America and Caribbean,5.716,0.486,0.782,0.138,0.842,0.064,0.6,20.8,2.584
2022,Bolivia,Latin America and Caribbean,5.6,0.555,0.88,0.112,1.256,0.064,0.627,20.68,2.584
2015,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.79081,0.91916,0.24808,0.83223,0.00227,0.09245,-1.0,1.346
2016,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.70766,0.64367,0.29889,0.93383,0.0040884974,0.09511,-1.0,1.346
2017,Bosnia and Herzegovina,Central and Eastern Europe,5.18200016,0.705186307,1.069335938,0.328867495,0.982409418,0.0040884974,0.204403177,-1.0,1.346
2018,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.758,1.078,0.216,0.915,0.0040884974,0.28,-1.0,1.346
2019,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.845,1.212,0.263,0.945,0.006,0.212,-1.0,1.346
2020,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,0.813928187,1.203986526,0.264005244,0.91839546,0.001172487,0.305365741,-1.0,1.346
2021,Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.618,0.919,0.261,1.032,0.005,0.395,-1.0,1.346
2022,Bosnia and Herzegovina,Central and Eastern Europe,5.768,0.665,1.068,0.244,1.468,0.006,0.448,-1.0,1.346
2015,Botswana,Sub-Saharan Africa,4.332,0.04776,1.10464,0.10461,0.99355,0.12474,0.49495,22.65,2.754
2016,Botswana,Sub-Saharan Africa,3.974,0.34752,0.89186,0.12425,1.09426,0.10769,0.44089,22.67,2.754
2017,Botswana,Sub-Saharan Africa,3.766000032,0.341755509,1.221554995,0.099348448,1.122094154,0.098583199,0.505196333,22.11,2.754
2018,Botswana,Sub-Saharan Africa,3.59,0.417,1.174,0.042,1.017,0.092,0.557,22.3,2.754
2019,Botswana,Sub-Saharan Africa,3.488,0.538,1.145,0.025,1.041,0.1,0.455,22.98,2.754
2020,Botswana,Sub-Saharan Africa,3.478899956,0.494101733,1.08569479,0.033407487,0.997548997,0.101786368,0.50908941,22.06,2.754
2021,Botswana,Sub-Saharan Africa,3.467,0.34,0.724,0.027,1.099,0.088,0.539,21.74,2.754
2022,Botswana,Sub-Saharan Africa,3.471,0.28,0.815,0.012,1.503,0.102,0.571,22.0,2.754
2015,Brazil,Latin America and Caribbean,6.983,0.69702,1.23287,0.14574,0.98124,0.17521,0.49049,25.97,1.626
2016,Brazil,Latin America and Caribbean,6.952,0.61415,1.03938,0.15776,1.08754,0.14166,0.40425,25.84,1.626
2017,Brazil,Latin America and Caribbean,6.635000229,0.616552353,1.431306005,0.162349895,1.10735321,0.111092761,0.437453747,25.77,1.626
2018,Brazil,Latin America and Caribbean,6.419,0.675,1.474,0.11,0.986,0.088,0.493,25.59,1.626
2019,Brazil,Latin America and Caribbean,6.3,0.802,1.439,0.099,1.004,0.086,0.39,25.94,1.626
2020,Brazil,Latin America and Caribbean,6.375599861,0.766119063,1.363464117,0.131674588,0.952679873,0.106518604,0.483292729,25.93,1.626
2021,Brazil,Latin America and Caribbean,6.33,0.571,0.944,0.142,1.028,0.117,0.514,25.57,1.626
2022,Brazil,Latin America and Caribbean,6.293,0.615,1.044,0.131,1.462,0.134,0.546,25.54,1.626
2015,Bulgaria,Central and Eastern Europe,4.218,0.76649,1.10614,0.11921,1.01216,0.00872,0.30587,11.85,1.78
2016,Bulgaria,Central and Eastern Europe,4.217,0.67806,0.92542,0.12793,1.11306,0.00615,0.21219,11.9,1.78
2017,Bulgaria,Central and Eastern Europe,4.714000225,0.70821768,1.434379458,0.113177694,1.161459088,0.011051531,0.289231718,11.75,1.78
2018,Bulgaria,Central and Eastern Europe,4.933,0.712,1.515,0.064,1.054,0.009,0.359,12.34,1.78
2019,Bulgaria,Central and Eastern Europe,5.011,0.815,1.513,0.081,1.092,0.004,0.311,12.81,1.78
2020,Bulgaria,Central and Eastern Europe,5.101500034,0.777776897,1.460578918,0.103833713,1.046554685,0.00927450442857143,0.417820066,12.49,1.78
2021,Bulgaria,Central and Eastern Europe,5.266,0.583,1.055,0.125,1.181,0.005,0.494,11.97,1.78
2022,Bulgaria,Central and Eastern Europe,5.371,0.64,1.163,0.123,1.625,0.021,0.563,12.28,1.78
2015,Burkina Faso,Sub-Saharan Africa,3.587,0.27125,0.85188,0.21747,0.25812,0.12832,0.39493,-1.0,4.665
2016,Burkina Faso,Sub-Saharan Africa,3.739,0.21297,0.63054,0.24353,0.31995,0.12533,0.3337,-1.0,4.665
2017,Burkina Faso,Sub-Saharan Africa,4.032000065,0.215844259,1.043280005,0.250864685,0.350227714,0.120328106,0.324367851,-1.0,4.665
2018,Burkina Faso,Sub-Saharan Africa,4.424,0.254,1.097,0.175,0.314,0.128,0.312,-1.0,4.665
2019,Burkina Faso,Sub-Saharan Africa,4.587,0.38,1.056,0.177,0.331,0.113,0.255,-1.0,4.665
2020,Burkina Faso,Sub-Saharan Africa,4.768700123,0.312833875,0.9293859,0.186390609,0.302467644,0.126408055,0.322398156,-1.0,4.665
2021,Burkina Faso,Sub-Saharan Africa,4.834,0.179,0.472,0.182,0.364,0.122,0.381,-1.0,4.665
2022,Burkina Faso,Sub-Saharan Africa,4.67,0.32,0.565,0.186,0.779,0.126,0.382,-1.0,4.665
2015,Cambodia,Southeast Asia,3.819,0.61114,0.62736,0.40359,0.46038,0.07247,0.66246,27.8,2.322
2016,Cambodia,Southeast Asia,3.907,0.42494,0.5375,0.40339,0.55604,0.08092,0.58852,27.97,2.322
