year,country,region,happiness_score,freedom_to_make_life_choices,social_support,gdp_per_capita,healthy_life_expectancy,perceptions_of_corruption,generosity,temperature
2015,Afghanistan,South Asia,3.575,0.23414,0.30285,0.31982,0.30335,0.09719,0.3651,13.66
2016,Afghanistan,South Asia,3.36,0.1643,0.11037,0.38227,0.17344,0.07112,0.31268,14.19
2017,Afghanistan,South Asia,3.79399991,0.10617952,0.581543326,0.401477218,0.180746779,0.06115783,0.311870933,13.82
2018,Afghanistan,South Asia,3.632,0.085,0.537,0.332,0.255,0.036,0.191,14.25
2019,Afghanistan,South Asia,3.203,0.0,0.517,0.35,0.361,0.025,0.158,13.58
2020,Afghanistan,South Asia,2.566900015,0.0,0.356433839,0.30070585,0.266051531,0.001225785,0.135234714,12.91
2021,Afghanistan,South Asia,2.523,0.0,0.0,0.37,0.126,0.01,0.122,14.28
2022,Afghanistan,South Asia,2.404,0.0,0.0,0.758,0.289,0.005,0.089,14.48
2015,Albania,Central and Eastern Europe,4.959,0.35733,0.80434,0.87867,0.81325,0.06413,0.14272,12.87
2016,Albania,Central and Eastern Europe,4.655,0.31866,0.50163,0.9553,0.73007,0.05301,0.1684,12.9
2017,Albania,Central and Eastern Europe,4.644000053,0.381498635,0.803685248,0.996192753,0.731159747,0.039864216,0.201312944,12.75
2018,Albania,Central and Eastern Europe,4.586,0.419,0.817,0.916,0.79,0.032,0.149,13.43
2019,Albania,Central and Eastern Europe,4.719,0.383,0.848,0.947,0.874,0.027,0.178,13.33
2020,Albania,Central and Eastern Europe,4.882699966,0.461945891,0.830483913,0.906653047,0.846329629,0.025361285,0.171027765,13.07
2021,Albania,Central and Eastern Europe,5.117,0.491,0.529,1.008,0.646,0.024,0.168,12.89
2022,Albania,Central and Eastern Europe,5.199,0.511,0.646,1.439,0.719,0.028,0.138,13.31
2015,Algeria,Middle East and North Africa,5.605,0.28579,1.07772,0.93929,0.61766,0.17383,0.07822,23.79
2016,Algeria,Middle East and North Africa,6.355,0.21006,0.83309,1.05266,0.61804,0.16157,0.07044,23.99
2017,Algeria,Middle East and North Africa,5.872000217,0.233335808,1.146217465,1.091864467,0.617584646,0.14609611,0.069436647,23.86
2018,Algeria,Middle East and North Africa,5.295,0.077,1.154,0.979,0.687,0.135,0.055,23.5
2019,Algeria,Middle East and North Africa,5.211,0.086,1.16,1.002,0.785,0.114,0.073,23.65
2020,Algeria,Middle East and North Africa,5.005099773,0.083943799,1.143003583,0.943856001,0.745418549,0.129190654,0.118915014,23.78
2021,Algeria,Middle East and North Africa,4.887,0.119,0.765,0.946,0.552,0.12,0.144,23.92
2022,Algeria,Middle East and North Africa,5.122,0.146,0.97,1.363,0.643,0.15,0.106,24.11
2015,Argentina,Latin America and Caribbean,6.574,0.44974,1.24823,1.05351,0.78723,0.08484,0.11451,15.48
2016,Argentina,Latin America and Caribbean,6.65,0.42284,1.06612,1.15137,0.69711,0.07296,0.10989,14.98
2017,Argentina,Latin America and Caribbean,6.598999977,0.494519204,1.440451145,1.185295463,0.695137084,0.059739888,0.109457061,15.53
2018,Argentina,Latin America and Caribbean,6.388,0.57,1.468,1.073,0.744,0.054,0.062,15.21
2019,Argentina,Latin America and Caribbean,6.086,0.471,1.432,1.092,0.881,0.05,0.066,15.19
2020,Argentina,Latin America and Caribbean,5.974699974,0.520840347,1.372543693,1.028465629,0.849773705,0.060415059,0.070100471,15.52
2021,Argentina,Latin America and Caribbean,5.929,0.544,0.98,1.162,0.646,0.067,0.069,15.4
2022,Argentina,Latin America and Caribbean,5.967,0.555,1.102,1.592,0.662,0.085,0.081,15.07
2015,Armenia,Central and Eastern Europe,4.35,0.19847,0.77711,0.76821,0.7299,0.039,0.07855,8.41
2016,Armenia,Central and Eastern Europe,4.36,0.14037,0.62477,0.86086,0.64083,0.03616,0.07793,7.81
2017,Armenia,Central and Eastern Europe,4.375999928,0.198303267,1.007483721,0.900596738,0.637524426,0.026674422,0.083488092,8.08
2018,Armenia,Central and Eastern Europe,4.321,0.26,0.99,0.816,0.666,0.028,0.077,9.32
2019,Armenia,Central and Eastern Europe,4.559,0.283,1.055,0.85,0.815,0.064,0.095,8.64
2020,Armenia,Central and Eastern Europe,4.676799774,0.378075808,1.034576893,0.808262408,0.77585727,0.104618184,0.107225738,8.41
2021,Armenia,Central and Eastern Europe,5.283,0.54,0.758,0.996,0.585,0.198,0.079,8.81
2022,Armenia,Central and Eastern Europe,5.399,0.558,0.82,1.434,0.668,0.21,0.054,8.64
2015,Australia,North America and ANZ,7.284,0.65124,1.30923,1.33358,0.93156,0.35637,0.43562,22.33
2016,Australia,North America and ANZ,7.313,0.56837,1.10476,1.44443,0.8512,0.32331,0.47407,22.41
2017,Australia,North America and ANZ,7.28399992,0.601607382,1.510041952,1.484414935,0.843886793,0.30118373,0.47769925,22.48
2018,Australia,North America and ANZ,7.272,0.647,1.573,1.34,0.91,0.302,0.361,22.49
2019,Australia,North America and ANZ,7.228,0.557,1.548,1.372,1.036,0.29,0.332,22.78
2020,Australia,North America and ANZ,7.222799778,0.621877193,1.477146268,1.310396433,1.022607684,0.335996419,0.324973613,22.56
2021,Australia,North America and ANZ,7.183,0.647,1.076,1.453,0.801,0.317,0.291,22.05
2022,Australia,North America and ANZ,7.162,0.676,1.203,1.9,0.772,0.341,0.258,21.96
2015,Austria,Western Europe,7.2,0.62433,1.29704,1.33723,0.89042,0.18676,0.33088,8.31
