year,country,region,happiness_score,healthy_life_expectancy,perceptions_of_corruption,freedom_to_make_life_choices,social_support,gdp_per_capita,generosity,temperature,fertility_rate,population
2015,Afghanistan,South Asia,3.575,0.30335,0.09719,0.23414,0.30285,0.31982,0.3651,13.66,5.405,33753499.0
2016,Afghanistan,South Asia,3.36,0.17344,0.07112,0.1643,0.11037,0.38227,0.31268,14.19,5.262,34636207.0
2017,Afghanistan,South Asia,3.79399991,0.180746779,0.06115783,0.10617952,0.581543326,0.401477218,0.311870933,13.82,5.129,35643418.0
2018,Afghanistan,South Asia,3.632,0.255,0.036,0.085,0.537,0.332,0.191,14.25,5.002,36686784.0
2019,Afghanistan,South Asia,3.203,0.361,0.025,0.14740488,0.517,0.35,0.158,13.58,4.87,37769499.0
2020,Afghanistan,South Asia,2.566900015,0.266051531,0.001225785,0.14740488,0.356433839,0.30070585,0.135234714,12.91,4.75,38972230.0
2021,Afghanistan,South Asia,2.523,0.126,0.01,0.14740488,0.4008661941666667,0.37,0.122,14.28,4.643,40099462.0
2022,Afghanistan,South Asia,2.404,0.289,0.005,0.14740488,0.4008661941666667,0.758,0.089,14.48,4.523,41128771.0
2015,Albania,Central and Eastern Europe,4.959,0.81325,0.06413,0.35733,0.80434,0.87867,0.14272,12.87,1.613,2880703.0
2016,Albania,Central and Eastern Europe,4.655,0.73007,0.05301,0.31866,0.50163,0.9553,0.1684,12.9,1.551,2876101.0
2017,Albania,Central and Eastern Europe,4.644000053,0.731159747,0.039864216,0.381498635,0.803685248,0.996192753,0.201312944,12.75,1.491,2873457.0
2018,Albania,Central and Eastern Europe,4.586,0.79,0.032,0.419,0.817,0.916,0.149,13.43,1.44,2866376.0
2019,Albania,Central and Eastern Europe,4.719,0.874,0.027,0.383,0.848,0.947,0.178,13.33,1.414,2854191.0
2020,Albania,Central and Eastern Europe,4.882699966,0.846329629,0.025361285,0.461945891,0.830483913,0.906653047,0.171027765,13.07,1.4,2837849.0
2021,Albania,Central and Eastern Europe,5.117,0.646,0.024,0.491,0.529,1.008,0.168,12.89,1.39,2811666.0
2022,Albania,Central and Eastern Europe,5.199,0.719,0.028,0.511,0.646,1.439,0.138,13.31,1.376,2777689.0
2015,Algeria,Middle East and North Africa,5.605,0.61766,0.17383,0.28579,1.07772,0.93929,0.07822,23.79,3.041,39543154.0
2016,Algeria,Middle East and North Africa,6.355,0.61804,0.16157,0.21006,0.83309,1.05266,0.07044,23.99,3.051,40339329.0
2017,Algeria,Middle East and North Africa,5.872000217,0.617584646,0.14609611,0.233335808,1.146217465,1.091864467,0.069436647,23.86,3.05,41136546.0
2018,Algeria,Middle East and North Africa,5.295,0.687,0.135,0.077,1.154,0.979,0.055,23.5,3.023,41927007.0
2019,Algeria,Middle East and North Africa,5.211,0.785,0.114,0.086,1.16,1.002,0.073,23.65,2.988,42705368.0
2020,Algeria,Middle East and North Africa,5.005099773,0.745418549,0.129190654,0.083943799,1.143003583,0.943856001,0.118915014,23.78,2.942,43451666.0
2021,Algeria,Middle East and North Africa,4.887,0.552,0.12,0.119,0.765,0.946,0.144,23.92,2.889,44177969.0
2022,Algeria,Middle East and North Africa,5.122,0.643,0.15,0.146,0.97,1.363,0.106,24.11,2.829,44903225.0
2015,Argentina,Latin America and Caribbean,6.574,0.78723,0.08484,0.44974,1.24823,1.05351,0.11451,15.48,2.301,43131966.0
2016,Argentina,Latin America and Caribbean,6.65,0.69711,0.07296,0.42284,1.06612,1.15137,0.10989,14.98,2.241,43590368.0
2017,Argentina,Latin America and Caribbean,6.598999977,0.695137084,0.059739888,0.494519204,1.440451145,1.185295463,0.109457061,15.53,2.168,44044811.0
2018,Argentina,Latin America and Caribbean,6.388,0.744,0.054,0.57,1.468,1.073,0.062,15.21,2.039,44494502.0
2019,Argentina,Latin America and Caribbean,6.086,0.881,0.05,0.471,1.432,1.092,0.066,15.19,1.994,44938712.0
2020,Argentina,Latin America and Caribbean,5.974699974,0.849773705,0.060415059,0.520840347,1.372543693,1.028465629,0.070100471,15.52,1.911,45376763.0
2021,Argentina,Latin America and Caribbean,5.929,0.646,0.067,0.544,0.98,1.162,0.069,15.4,1.885,45808747.0
2022,Argentina,Latin America and Caribbean,5.967,0.662,0.085,0.555,1.102,1.592,0.081,15.07,1.876,46234830.0
2015,Armenia,Central and Eastern Europe,4.35,0.7299,0.039,0.19847,0.77711,0.76821,0.07855,8.41,1.602,2878595.0
2016,Armenia,Central and Eastern Europe,4.36,0.64083,0.03616,0.14037,0.62477,0.86086,0.07793,7.81,1.626,2865835.0
